Temperature	0.0uM_1	0.0uM_2	
41.62096	0.042167	0.044934
41.640648	0.04239	0.045169
41.66034	0.042614	0.045405
41.680027	0.042839	0.045641
41.699715	0.043064	0.045879
41.719402	0.04329	0.046117
41.73909	0.043517	0.046356
41.75878	0.043745	0.046596
41.77847	0.043974	0.046837
41.798157	0.044203	0.047078
41.817844	0.044433	0.047321
41.837532	0.044664	0.047564
41.857224	0.044896	0.047808
41.87691	0.045128	0.048052
41.8966	0.045361	0.048298
41.916286	0.045595	0.048544
41.935974	0.04583	0.048792
41.95566	0.046066	0.049039
41.975353	0.046302	0.049288
41.99504	0.04654	0.049537
42.01473	0.046778	0.049788
42.034416	0.047017	0.050039
42.054104	0.047256	0.05029
42.073795	0.047497	0.050543
42.093483	0.047738	0.050796
42.11317	0.047981	0.05105
42.13286	0.048224	0.051305
42.152546	0.048468	0.051561
42.172237	0.048713	0.051818
42.191925	0.048958	0.052075
42.211613	0.049205	0.052333
42.2313	0.049453	0.052592
42.250988	0.049701	0.052851
42.270676	0.04995	0.053111
42.290367	0.050201	0.053372
42.310055	0.050452	0.053634
42.329742	0.050704	0.053897
42.34943	0.050956	0.05416
42.369118	0.05121	0.054424
42.38881	0.051465	0.054689
42.408497	0.05172	0.054955
42.428185	0.051976	0.055222
42.447872	0.052234	0.055489
42.46756	0.052492	0.055757
42.48725	0.052751	0.056026
42.50694	0.053011	0.056296
42.526627	0.053271	0.056566
42.546314	0.053533	0.056837
42.566	0.053795	0.057109
42.58569	0.054059	0.057382
42.60538	0.054323	0.057655
42.62507	0.054588	0.05793
42.644756	0.054854	0.058205
42.664444	0.055121	0.058481
42.68413	0.055389	0.058758
42.703823	0.055657	0.059035
42.72351	0.055927	0.059313
42.7432	0.056197	0.059592
42.762886	0.056468	0.059872
42.782574	0.056739	0.060153
42.802265	0.057012	0.060435
42.821953	0.057285	0.060717
42.84164	0.05756	0.061
42.86133	0.057834	0.061284
42.881016	0.05811	0.061569
42.900707	0.058387	0.061854
42.920395	0.058664	0.06214
42.940083	0.058942	0.062428
42.95977	0.059221	0.062715
42.979458	0.059501	0.063004
42.999146	0.059781	0.063294
43.018837	0.060062	0.063584
43.038525	0.060344	0.063875
43.058212	0.060627	0.064167
43.0779	0.060911	0.06446
43.097588	0.061195	0.064754
43.11728	0.06148	0.065048
43.136967	0.061766	0.065344
43.156654	0.062052	0.06564
43.176342	0.06234	0.065937
43.19603	0.062628	0.066235
43.21572	0.062917	0.066534
43.23541	0.063207	0.066834
43.255096	0.063497	0.067134
43.274784	0.063789	0.067435
43.29447	0.064081	0.067738
43.31416	0.064374	0.068041
43.33385	0.064668	0.068345
43.35354	0.064963	0.06865
43.373226	0.065259	0.068955
43.392914	0.065556	0.069262
43.4126	0.065853	0.06957
43.432293	0.066151	0.069878
43.45198	0.066451	0.070188
43.47167	0.066751	0.070498
43.491356	0.067052	0.070809
43.511044	0.067354	0.071121
43.530735	0.067657	0.071434
43.550423	0.06796	0.071748
43.57011	0.068265	0.072063
43.589798	0.068571	0.072379
43.609486	0.068877	0.072696
43.629173	0.069185	0.073014
43.648865	0.069493	0.073332
43.668552	0.069802	0.073652
43.68824	0.070112	0.073973
43.707928	0.070423	0.074294
43.727615	0.070735	0.074617
43.747307	0.071048	0.07494
43.766994	0.071362	0.075265
43.786682	0.071677	0.07559
43.80637	0.071993	0.075916
43.826057	0.07231	0.076244
43.84575	0.072628	0.076572
43.865437	0.072947	0.076901
43.885124	0.073267	0.077231
43.90481	0.073587	0.077562
43.9245	0.073909	0.077894
43.94419	0.074232	0.078226
43.96388	0.074556	0.07856
43.983566	0.074881	0.078895
44.003254	0.075207	0.07923
44.02294	0.075534	0.079567
44.04263	0.075863	0.079904
44.06232	0.076192	0.080242
44.08201	0.076522	0.080581
44.101696	0.076853	0.080922
44.121384	0.077186	0.081262
44.14107	0.077519	0.081604
44.160763	0.077854	0.081947
44.18045	0.07819	0.082291
44.200138	0.078526	0.082635
44.219826	0.078864	0.08298
44.239513	0.079203	0.083327
44.259205	0.079543	0.083674
44.278893	0.079884	0.084022
44.29858	0.080226	0.084371
